	precision	recall	f1-score	support
0	0.9166666666666666	0.8461538461538461	0.88	13.0
1	0.9444444444444444	1.0	0.9714285714285714	17.0
2	0.8461538461538461	0.8461538461538461	0.8461538461538461	13.0
3	1.0	1.0	1.0	8.0
4	1.0	1.0	1.0	8.0
5	1.0	1.0	1.0	10.0
accuracy	0.9420289855072463	0.9420289855072463	0.9420289855072463	0.9420289855072463
macro avg	0.9512108262108262	0.9487179487179488	0.9495970695970696	69.0
weighted avg	0.9416264090177134	0.9420289855072463	0.941366459627329	69.0
