cluster_column	evaluation_type	accuracy	f1_macro	n_classes
true_label	10-FOLD	0.7681159420289855	0.5647546897546898	8
true_label_numeric	10-FOLD	0.7681159420289855	0.5647546897546898	8
kmeans_cluster	10-FOLD	0.9710144927536232	0.8128105221926732	6
hierarchical_cluster	10-FOLD	0.8260869565217391	0.7464138400199781	9
dbscan_cluster	10-FOLD	0.8985507246376812	0.7853031327473519	9
hdbscan_cluster	10-FOLD	0.7681159420289855	0.6988862021541761	9
spectral_cluster	10-FOLD	0.9420289855072463	0.9495970695970696	6
