	precision	recall	f1-score	support
0	0.9473684210526315	1.0	0.972972972972973	18.0
1	1.0	1.0	1.0	8.0
2	1.0	0.9166666666666666	0.9565217391304348	12.0
3	1.0	1.0	1.0	21.0
4	0.0	0.0	0.0	1.0
5	0.9	1.0	0.9473684210526315	9.0
accuracy	0.9710144927536232	0.9710144927536232	0.9710144927536232	0.9710144927536232
macro avg	0.8078947368421052	0.8194444444444443	0.8128105221926732	69.0
weighted avg	0.9587337909992372	0.9710144927536232	0.9640302923558322	69.0
