cluster_column	evaluation_type	accuracy	f1_macro	n_classes
true_label	10-FOLD	0.8405797101449275	0.7089318794817323	8
true_label_numeric	10-FOLD	0.8405797101449275	0.7089318794817323	8
kmeans_cluster	10-FOLD	0.9565217391304348	0.9649054956022706	5
hierarchical_cluster	10-FOLD	0.9710144927536232	0.9638888888888889	4
dbscan_cluster	10-FOLD	0.7101449275362319	0.40651491365777087	13
hdbscan_cluster	10-FOLD	0.7391304347826086	0.5423809523809524	12
spectral_cluster	10-FOLD	0.9565217391304348	0.9430777716492001	7
