cluster_column	evaluation_type	accuracy	f1_macro	n_classes
true_label	5-FOLD	0.7971014492753623	0.6327132936507937	8
true_label_numeric	5-FOLD	0.7971014492753623	0.6327132936507937	8
kmeans_cluster	5-FOLD	0.8985507246376812	0.9111539718862373	5
hierarchical_cluster	5-FOLD	0.9710144927536232	0.9638888888888889	4
dbscan_cluster	5-FOLD	0.6521739130434783	0.349685534591195	13
hdbscan_cluster	5-FOLD	0.6666666666666666	0.4595238095238096	12
spectral_cluster	5-FOLD	0.9130434782608695	0.8398428503691662	7
