cluster_column	evaluation_type	accuracy	f1_macro	n_classes
true_label	LOO CV	0.8115942028985508	0.6426415501118388	8
true_label_numeric	LOO CV	0.8115942028985508	0.6426415501118388	8
kmeans_cluster	LOO CV	0.9710144927536232	0.9755900621118012	5
hierarchical_cluster	LOO CV	0.9710144927536232	0.9638888888888889	4
dbscan_cluster	LOO CV	0.6956521739130435	0.38846153846153847	13
hdbscan_cluster	LOO CV	0.7246376811594203	0.5015670603905897	12
spectral_cluster	LOO CV	0.9710144927536232	0.9444444444444445	7
