	precision	recall	f1-score	support
0	1.0	0.9444444444444444	0.9714285714285714	18.0
1	1.0	0.9166666666666666	0.9565217391304348	12.0
2	1.0	1.0	1.0	12.0
3	1.0	1.0	1.0	8.0
4	0.9047619047619048	1.0	0.95	19.0
accuracy	0.9710144927536232	0.9710144927536232	0.9710144927536232	0.9710144927536232
macro avg	0.980952380952381	0.9722222222222221	0.9755900621118012	69.0
weighted avg	0.9737750172532781	0.9710144927536232	0.9712170312359347	69.0
